cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
256,16,200,5120,False,torch.bfloat16,torch.bfloat16,False,False,opus,201,8,8.3628,opus_gemm_flatmm_splitk_256x32x32x64_2x1_16x16x32_0x0x0_wgpcu2,0.0,3.92,265.25
256,32,200,5120,False,torch.bfloat16,torch.bfloat16,False,False,opus,201,8,8.7028,opus_gemm_flatmm_splitk_256x32x32x64_2x1_16x16x32_0x0x0_wgpcu2,0.0,7.53,274.45
256,64,200,5120,False,torch.bfloat16,torch.bfloat16,False,False,opus,201,8,9.0915,opus_gemm_flatmm_splitk_256x32x32x64_2x1_16x16x32_0x0x0_wgpcu2,0.0,14.42,300.17
256,128,200,5120,False,torch.bfloat16,torch.bfloat16,False,False,opus,202,4,9.769,opus_gemm_flatmm_splitk_256x32x32x128_2x1_16x16x32_0x0x0_wgpcu2,0.0,26.83,349.06
256,256,200,5120,False,torch.bfloat16,torch.bfloat16,False,False,opus,202,4,10.1823,opus_gemm_flatmm_splitk_256x32x32x128_2x1_16x16x32_0x0x0_wgpcu2,0.0,51.49,468.64
256,512,200,5120,False,torch.bfloat16,torch.bfloat16,False,False,opus,205,4,13.1284,opus_gemm_flatmm_splitk_256x64x32x64_2x1_16x16x32_0x0x0_wgpcu2,0.0,79.87,570.95
256,1024,200,5120,False,torch.bfloat16,torch.bfloat16,False,False,opus,200,4,17.0918,opus_gemm_flatmm_splitk_256x64x64x64_2x1_16x16x32_0x0x0_wgpcu2,0.0,122.7,757.28
256,2048,200,5120,False,torch.bfloat16,torch.bfloat16,False,False,opus,200,2,22.3603,opus_gemm_flatmm_splitk_256x64x64x64_2x1_16x16x32_0x0x0_wgpcu2,0.0,187.58,1066.12
256,4096,200,5120,False,torch.bfloat16,torch.bfloat16,False,False,opus,200,0,34.5666,opus_gemm_flatmm_splitk_256x64x64x64_2x1_16x16x32_0x0x0_wgpcu2,0.0,242.68,1320.04
256,8192,200,5120,False,torch.bfloat16,torch.bfloat16,False,False,opus,200,0,63.4321,opus_gemm_flatmm_splitk_256x64x64x64_2x1_16x16x32_0x0x0_wgpcu2,0.0,264.49,1406.4
256,16384,200,5120,False,torch.bfloat16,torch.bfloat16,False,False,opus,200,0,135.0647,opus_gemm_flatmm_splitk_256x64x64x64_2x1_16x16x32_0x0x0_wgpcu2,0.0,248.43,1305.85
256,32768,200,5120,False,torch.bfloat16,torch.bfloat16,False,False,opus,210,0,260.4792,opus_gemm_flatmm_splitk_256x32x256x64_2x1_16x16x32_0x0x0_wgpcu1,0.0,257.64,1346.36
256,6,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,202,4,8.4936,opus_gemm_flatmm_splitk_256x32x32x128_2x1_16x16x32_0x0x0_wgpcu2,0.0,3.89,658.81
256,6,384,7168,False,torch.bfloat16,torch.float32,False,False,opus,202,4,8.2967,opus_gemm_flatmm_splitk_256x32x32x128_2x1_16x16x32_0x0x0_wgpcu2,0.0,3.98,675.0
256,8,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,202,4,8.5284,opus_gemm_flatmm_splitk_256x32x32x128_2x1_16x16x32_0x0x0_wgpcu2,0.0,5.16,659.66
256,16,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,202,4,8.5383,opus_gemm_flatmm_splitk_256x32x32x128_2x1_16x16x32_0x0x0_wgpcu2,0.0,10.32,673.05
256,24,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,202,4,8.5629,opus_gemm_flatmm_splitk_256x32x32x128_2x1_16x16x32_0x0x0_wgpcu2,0.0,15.43,685.23
256,32,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,202,4,8.5779,opus_gemm_flatmm_splitk_256x32x32x128_2x1_16x16x32_0x0x0_wgpcu2,0.0,20.54,698.11
256,40,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,202,4,8.6595,opus_gemm_flatmm_splitk_256x32x32x128_2x1_16x16x32_0x0x0_wgpcu2,0.0,25.43,705.49
256,48,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,202,4,8.6896,opus_gemm_flatmm_splitk_256x32x32x128_2x1_16x16x32_0x0x0_wgpcu2,0.0,30.41,716.95
256,56,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,202,4,8.6421,opus_gemm_flatmm_splitk_256x32x32x128_2x1_16x16x32_0x0x0_wgpcu2,0.0,35.67,734.87
256,64,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,202,4,8.7066,opus_gemm_flatmm_splitk_256x32x32x128_2x1_16x16x32_0x0x0_wgpcu2,0.0,40.47,743.31
256,72,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,202,4,8.7625,opus_gemm_flatmm_splitk_256x32x32x128_2x1_16x16x32_0x0x0_wgpcu2,0.0,45.23,752.36
256,80,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,202,4,8.797,opus_gemm_flatmm_splitk_256x32x32x128_2x1_16x16x32_0x0x0_wgpcu2,0.0,50.06,763.14
256,88,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,202,4,8.8381,opus_gemm_flatmm_splitk_256x32x32x128_2x1_16x16x32_0x0x0_wgpcu2,0.0,54.81,773.26
256,96,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,202,4,8.8975,opus_gemm_flatmm_splitk_256x32x32x128_2x1_16x16x32_0x0x0_wgpcu2,0.0,59.4,781.68
256,104,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,202,4,8.9395,opus_gemm_flatmm_splitk_256x32x32x128_2x1_16x16x32_0x0x0_wgpcu2,0.0,64.04,791.53
256,112,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,202,4,8.9878,opus_gemm_flatmm_splitk_256x32x32x128_2x1_16x16x32_0x0x0_wgpcu2,0.0,68.6,800.72
256,120,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,202,4,9.0187,opus_gemm_flatmm_splitk_256x32x32x128_2x1_16x16x32_0x0x0_wgpcu2,0.0,73.25,811.37
256,128,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,202,4,9.0746,opus_gemm_flatmm_splitk_256x32x32x128_2x1_16x16x32_0x0x0_wgpcu2,0.0,77.65,819.69
256,136,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,202,4,9.1649,opus_gemm_flatmm_splitk_256x32x32x128_2x1_16x16x32_0x0x0_wgpcu2,0.0,81.69,824.8
256,144,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,202,4,9.2259,opus_gemm_flatmm_splitk_256x32x32x128_2x1_16x16x32_0x0x0_wgpcu2,0.0,85.92,832.44
256,168,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,202,4,10.4762,opus_gemm_flatmm_splitk_256x32x32x128_2x1_16x16x32_0x0x0_wgpcu2,0.0,88.28,767.69
256,176,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,202,4,10.4932,opus_gemm_flatmm_splitk_256x32x32x128_2x1_16x16x32_0x0x0_wgpcu2,0.0,92.33,777.96
256,184,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,202,4,10.5423,opus_gemm_flatmm_splitk_256x32x32x128_2x1_16x16x32_0x0x0_wgpcu2,0.0,96.08,785.8
256,192,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,202,4,10.5685,opus_gemm_flatmm_splitk_256x32x32x128_2x1_16x16x32_0x0x0_wgpcu2,0.0,100.01,795.29
256,200,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,202,4,10.7257,opus_gemm_flatmm_splitk_256x32x32x128_2x1_16x16x32_0x0x0_wgpcu2,0.0,102.65,794.9
256,208,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,202,4,10.7562,opus_gemm_flatmm_splitk_256x32x32x128_2x1_16x16x32_0x0x0_wgpcu2,0.0,106.45,803.88
256,216,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,202,4,10.8473,opus_gemm_flatmm_splitk_256x32x32x128_2x1_16x16x32_0x0x0_wgpcu2,0.0,109.62,808.26
256,224,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,202,4,10.8853,opus_gemm_flatmm_splitk_256x32x32x128_2x1_16x16x32_0x0x0_wgpcu2,0.0,113.28,816.54
256,232,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,202,2,10.8132,opus_gemm_flatmm_splitk_256x32x32x128_2x1_16x16x32_0x0x0_wgpcu2,0.0,118.11,833.16
256,240,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,202,2,10.8318,opus_gemm_flatmm_splitk_256x32x32x128_2x1_16x16x32_0x0x0_wgpcu2,0.0,121.97,842.89
256,248,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,202,2,10.8504,opus_gemm_flatmm_splitk_256x32x32x128_2x1_16x16x32_0x0x0_wgpcu2,0.0,125.82,852.58
256,256,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,202,2,10.873,opus_gemm_flatmm_splitk_256x32x32x128_2x1_16x16x32_0x0x0_wgpcu2,0.0,129.61,861.92
